,beta_max,beta_lower,beta_higher,task,fsm_type,condition
0,0.0,0,0.005,explanation,easy,visible
0,0.0,0,0.005,explanation,easy,hidden
0,0.0,0,0.005,explanation,easy,hidden_an
0,0.0,0,0.005,explanation,hard,visible
0,0.0,0,0.005,explanation,hard,hidden
0,0.0,0,0.005,explanation,hard,hidden_an
0,0.0,0,0.0,prediction,easy,visible
0,0.0,0,0.0,prediction,easy,hidden
0,0.0,0,0.0,prediction,easy,hidden_an
0,0.0,0,0.0,prediction,hard,visible
0,0.0,0,0.0,prediction,hard,hidden
0,0.0,0,0.0,prediction,hard,hidden_an
0,0.0,0,0.0,control,easy,visible
0,0.0,0,0.0,control,easy,hidden
0,0.0,0,0.0,control,easy,hidden_an
0,0.0,0,0.0,control,hard,visible
0,0.0,0,0.0,control,hard,hidden
0,0.0,0,0.0,control,hard,hidden_an
